order_id,msa_id,procurement_type_id,order_code,order_ceiling_amount
5322,179,1,SOW02292,192828.21
6014,156,2,PO006014,35741.13
899,30,1,SOW00389,65088.29
3651,124,1,SOW01567-2,30031.63
3508,117,1,SOW01504-1,22425.91
3488,116,1,SOW01494,198493.6
3362,113,1,SOW01443,147796.28
11398,100,4,CO011398,13148.66
1695,61,1,SOW00743-1,468688.2
8135,17,2,PO008135,7425.62
9147,113,2,PO009147,18168.42
3898,131,1,SOW01678-1,177701.44
2384,79,1,SOW01036-2,43894.99
4171,140,1,SOW01800-5,87423.89
11486,116,2,PO011486,49697.25
5118,170,1,SOW02209-1,59175.25
7674,157,3,BPO007674,42985.61
5100,170,1,SOW02201-1,44189.25
6881,57,3,BPO006881,35800.13
11293,197,2,PO011293,1809.26
9179,57,2,PO009179,27536.01
10961,41,4,CO010961,5187.71
9834,187,3,BPO009834,22173.59
2373,78,1,SOW01031-4,632539.16
3704,125,1,SOW01595,7854.76
5633,192,1,SOW02424,178615.27
1816,63,1,SOW00796-1,209792.77
5071,169,1,SOW02185-4,235718.85
6111,193,2,PO006111,4688.21
7075,185,2,PO007075,40219.44
10862,70,3,BPO010862,37224.44
8909,72,3,BPO008909,25892.52
9290,20,4,CO009290,15508.33
8819,188,2,PO008819,10215.35
4557,152,1,SOW01973-1,94618.82
8595,183,3,BPO008595,40110.33
5451,184,1,SOW02346-1,103902.99
7080,138,3,BPO007080,43056.28
23,1,1,SOW00013-1,153487.73
5582,190,1,SOW02401-1,53159.04
3844,129,1,SOW01659-3,137284.82
10367,101,4,CO010367,14446.5
7801,199,2,PO007801,30885.6
6837,128,2,PO006837,3048.21
2762,92,1,SOW01186,265333.91
6326,27,4,CO006326,44379.61
10074,62,2,PO010074,22933.42
3399,114,1,SOW01458-3,32030.84
8830,19,2,PO008830,27180.64
11012,70,2,PO011012,15726.18
7137,174,3,BPO007137,26362.77
1249,42,1,SOW00541-4,30983.49
5670,192,1,SOW02437-2,87260.45
7213,12,3,BPO007213,30622.19
9071,145,4,CO009071,46658.02
8320,139,2,PO008320,7732.56
8288,198,3,BPO008288,2671.8
3515,117,1,SOW01507,60227.19
5759,196,1,SOW02477,179652.16
4326,145,1,SOW01872-1,33641.05
7856,79,4,CO007856,37518.64
11717,187,2,PO011717,29040.66
383,14,1,SOW00163,414630.19
3138,106,1,SOW01349,102504.36
10025,155,2,PO010025,36005.35
7646,3,4,CO007646,24298.43
108,4,1,SOW00049-2,161169.91
3834,129,1,SOW01657-1,199987.08
6259,12,2,PO006259,9989.48
4688,157,1,SOW02029,96990.68
9831,170,4,CO009831,20462.44
925,30,1,SOW00400,89808.71
8188,41,2,PO008188,3150.12
7440,75,3,BPO007440,13236.64
3809,128,1,SOW01643-1,107067.04
7244,120,3,BPO007244,2056.68
7033,10,3,BPO007033,5471.72
5050,168,1,SOW02175,207754.44
10445,193,2,PO010445,41940.0
11362,6,4,CO011362,7606.53
1334,47,1,SOW00583,56188.62
661,22,1,SOW00281,526608.09
5561,190,1,SOW02393-5,76286.21
10026,146,3,BPO010026,17517.6
8677,183,2,PO008677,43540.49
10105,83,3,BPO010105,9820.86
2972,101,1,SOW01283,7090.41
6213,84,3,BPO006213,25342.0
51,3,1,SOW00028,35591.05
5205,172,1,SOW02243,190894.09
6371,28,4,CO006371,29289.55
5652,192,1,SOW02432,139717.65
6606,6,3,BPO006606,1382.9
695,23,1,SOW00295-1,293514.02
875,30,1,SOW00379-1,21433.44
3021,103,1,SOW01306,160725.22
204,8,1,SOW00091-2,17445.48
5767,196,1,SOW02481,139418.05
8345,170,4,CO008345,7294.73
2659,88,1,SOW01145,109850.73
3377,114,1,SOW01448-2,59002.28
6963,148,3,BPO006963,45597.94
4052,135,1,SOW01746,28893.66
7132,127,2,PO007132,31495.16
7102,110,2,PO007102,11501.52
10255,90,3,BPO010255,20990.4
11417,189,2,PO011417,15033.2
7947,79,2,PO007947,19945.06
10800,35,3,BPO010800,13593.12
1743,62,1,SOW00764-1,87617.23
11296,81,2,PO011296,13888.86
1240,42,1,SOW00539-1,10841.66
4727,159,1,SOW02043-1,121855.92
2431,80,1,SOW01055-2,63638.38
7560,19,2,PO007560,32568.07
5697,193,1,SOW02450-1,96194.97
9500,41,4,CO009500,44604.0
8370,101,2,PO008370,3794.05
3079,105,1,SOW01329,106437.37
3554,118,1,SOW01524-2,61869.21
9393,2,2,PO009393,35209.45
4169,140,1,SOW01800-3,61196.72
5097,170,1,SOW02199-1,78671.95
10959,57,3,BPO010959,49789.42
10385,127,3,BPO010385,37547.7
8971,53,3,BPO008971,19834.19
10278,123,2,PO010278,24207.04
1882,65,1,SOW00826-2,105109.23
10017,193,2,PO010017,19466.65
5336,180,1,SOW02298-1,126566.5
507,17,1,SOW00210,61364.79
6482,188,3,BPO006482,1202.25
4843,162,1,SOW02086-5,251394.26
10481,91,4,CO010481,34611.07
2642,88,1,SOW01140,58245.38
3612,123,1,SOW01551-1,95068.42
10204,146,4,CO010204,22968.21
10846,20,4,CO010846,19797.45
6639,63,4,CO006639,32533.15
11727,100,4,CO011727,20363.6
11725,5,2,PO011725,19011.53
8100,187,3,BPO008100,3812.81
6729,23,4,CO006729,13898.11
4766,160,1,SOW02060-2,52470.55
9180,147,2,PO009180,17339.21
5957,38,3,BPO005957,30469.06
10149,143,4,CO010149,28230.92
3581,119,1,SOW01534-1,442900.52
11325,50,4,CO011325,27303.55
6724,126,3,BPO006724,751.97
5624,191,1,SOW02419-2,73413.1
9284,168,4,CO009284,48347.7
4031,135,1,SOW01737,51711.29
10454,112,4,CO010454,6900.41
4993,167,1,SOW02152,23868.14
10194,128,3,BPO010194,40340.25
8817,157,3,BPO008817,14319.18
2046,69,1,SOW00895,19157.64
9809,12,4,CO009809,18455.0
4243,142,1,SOW01832-3,148786.42
10801,43,2,PO010801,46229.57
7401,186,2,PO007401,9172.94
7686,152,2,PO007686,12804.38
328,11,1,SOW00143,109816.18
4768,160,1,SOW02062,67701.17
2259,75,1,SOW00986-3,58140.16
2631,87,1,SOW01137-1,501552.41
2094,70,1,SOW00915,39079.42
8391,99,2,PO008391,27314.71
9153,200,2,PO009153,48194.42
10175,59,4,CO010175,47514.01
148,7,1,SOW00069-1,77769.03
1854,64,1,SOW00814,198567.29
10739,193,3,BPO010739,4972.21
5621,191,1,SOW02418-1,104575.87
5206,172,1,SOW02244,143018.09
6953,131,4,CO006953,35785.59
9122,41,2,PO009122,49611.46
10135,45,2,PO010135,14722.81
7107,96,4,CO007107,35871.65
4742,159,1,SOW02047-2,148176.87
2981,101,1,SOW01287-1,11416.54
7403,76,2,PO007403,44775.06
3494,117,1,SOW01497-1,46598.92
4527,151,1,SOW01960-1,1245440.2
5558,190,1,SOW02393-2,45771.73
7456,118,4,CO007456,45678.77
4328,145,1,SOW01873-1,45504.55
6364,200,2,PO006364,15087.52
1742,62,1,SOW00764,53569.14
4024,135,1,SOW01733-1,45304.0
9517,47,3,BPO009517,32179.93
5535,188,1,SOW02383-5,233379.09
6880,189,3,BPO006880,44933.19
2847,97,1,SOW01224-1,361547.89
9083,61,4,CO009083,48987.44
4558,152,1,SOW01973-2,145567.41
2056,69,1,SOW00899,83165.14
1980,68,1,SOW00870-1,11574.16
8913,129,4,CO008913,9333.5
6593,85,2,PO006593,23536.14
2998,102,1,SOW01296-1,53897.51
1516,53,1,SOW00661,11958.14
6263,31,3,BPO006263,3851.57
4180,140,1,SOW01806-1,91118.53
8720,56,3,BPO008720,47990.29
7946,141,3,BPO007946,19053.42
5602,191,1,SOW02411-1,118450.19
7417,124,4,CO007417,3459.42
7081,59,3,BPO007081,40163.63
4930,165,1,SOW02129,65253.7
4108,136,1,SOW01773-2,156972.86
2248,75,1,SOW00982-4,54895.84
10032,106,4,CO010032,7303.55
7719,155,2,PO007719,29721.98
242,9,1,SOW00105-1,214553.57
2417,79,1,SOW01052-1,48748.34
254,9,1,SOW00111,277800.33
8752,28,2,PO008752,44989.4
2683,90,1,SOW01154,12852.64
11318,143,3,BPO011318,18037.36
7884,33,4,CO007884,34630.22
4211,141,1,SOW01820,228386.63
3054,103,1,SOW01314-5,313028.62
10933,170,4,CO010933,27987.15
8011,116,4,CO008011,4697.37
208,8,1,SOW00092,34319.41
10199,128,2,PO010199,7229.79
8360,119,4,CO008360,26245.58
5061,168,1,SOW02183,177504.87
3875,130,1,SOW01670,182287.35
1398,49,1,SOW00612-1,311915.51
2332,77,1,SOW01016,101136.28
6813,99,3,BPO006813,46157.6
10406,163,4,CO010406,10855.55
9049,30,3,BPO009049,25443.02
11423,90,3,BPO011423,13192.16
3585,119,1,SOW01537,174564.32
11011,38,2,PO011011,12147.03
5854,200,1,SOW02516,359835.36
4450,148,1,SOW01924-2,66593.85
4733,159,1,SOW02045-1,49867.47
6511,108,2,PO006511,11532.53
7180,143,3,BPO007180,32778.56
1395,49,1,SOW00610-2,428645.47
3826,128,1,SOW01652-1,211862.94
8555,126,2,PO008555,13732.85
4390,147,1,SOW01901-3,127517.13
10812,165,2,PO010812,3445.11
8598,38,3,BPO008598,34177.61
10167,87,2,PO010167,18893.74
8205,4,4,CO008205,44921.7
520,17,1,SOW00216-1,90093.16
4412,148,1,SOW01906-4,75483.74
6587,8,2,PO006587,9405.26
9267,7,4,CO009267,8670.43
5898,5,4,CO005898,45649.11
1338,47,1,SOW00585,163007.49
1517,53,1,SOW00661-1,19431.98
8693,123,2,PO008693,23726.54
1436,51,1,SOW00625,174827.03
11202,149,2,PO011202,10762.85
4352,146,1,SOW01885,77042.87
9166,8,4,CO009166,44788.48
6848,86,2,PO006848,7394.79
7376,55,2,PO007376,28751.88
10139,130,3,BPO010139,48613.65
450,16,1,SOW00190-2,49193.4
5813,198,1,SOW02499,44158.63
3787,128,1,SOW01634,114550.09
412,15,1,SOW00172-3,165591.94
5868,184,4,CO005868,44901.99
1562,54,1,SOW00679-2,166496.17
2153,72,1,SOW00944,837467.61
270,10,1,SOW00119-1,18745.44
7079,138,2,PO007079,49268.26
1274,43,1,SOW00554,98419.86
11625,198,3,BPO011625,42553.92
10986,37,3,BPO010986,21238.62
2738,91,1,SOW01176,187925.19
1233,41,1,SOW00537-1,66805.8
11526,99,2,PO011526,8988.78
4430,148,1,SOW01915,113033.71
8760,124,2,PO008760,9774.91
3013,102,1,SOW01303,106978.68
11459,36,2,PO011459,41507.57
10164,162,2,PO010164,9342.59
11559,146,3,BPO011559,49904.84
8068,101,3,BPO008068,7920.04
2169,73,1,SOW00950-2,1279862.53
5542,188,1,SOW02385,283025.84
1096,37,1,SOW00477-1,226831.94
11097,17,3,BPO011097,31177.32
2900,99,1,SOW01251-1,244243.49
5577,190,1,SOW02400-1,57785.67
1205,40,1,SOW00523-3,188663.3
4831,162,1,SOW02084,116035.52
1348,47,1,SOW00590-1,113835.94
6279,142,2,PO006279,8969.9
318,11,1,SOW00139-1,121413.31
3074,105,1,SOW01326,107070.93
11519,118,2,PO011519,26058.84
10419,39,4,CO010419,16228.43
5489,185,1,SOW02362-1,262971.17
7929,40,3,BPO007929,27054.51
3621,123,1,SOW01554,133945.31
7112,37,4,CO007112,48802.96
11553,193,2,PO011553,35145.66
3442,115,1,SOW01470-1,1321715.76
2593,86,1,SOW01124-1,62612.84
1363,48,1,SOW00597-2,131329.34
2371,78,1,SOW01031-2,411150.45
2527,83,1,SOW01093,250096.6
7543,51,4,CO007543,48586.21
8986,115,2,PO008986,17459.16
4404,148,1,SOW01905,118769.75
2855,97,1,SOW01228,274336.07
4862,163,1,SOW02094,87456.85
9156,127,3,BPO009156,27327.85
9783,12,3,BPO009783,22038.32
11218,29,3,BPO011218,8415.53
5866,200,1,SOW02523,335000.99
6476,112,3,BPO006476,45673.59
5791,197,1,SOW02492,303229.2
10842,9,4,CO010842,22847.81
7253,26,2,PO007253,45700.87
7908,130,2,PO007908,11649.16
7975,144,4,CO007975,31619.78
293,10,1,SOW00126-1,46697.03
917,30,1,SOW00398,44615.9
4868,163,1,SOW02096-1,32220.44
5426,184,1,SOW02337,65581.76
347,12,1,SOW00150-3,207754.71
577,18,1,SOW00242-4,100436.3
2206,75,1,SOW00966-2,32435.28
11143,27,2,PO011143,23304.28
4340,145,1,SOW01880,48553.24
6796,17,2,PO006796,32968.0
2515,82,1,SOW01088-2,71620.76
8915,35,3,BPO008915,30699.71
2629,87,1,SOW01136-3,801698.07
7212,69,2,PO007212,9042.97
5578,190,1,SOW02400-2,71544.17
52,3,1,SOW00028-1,44488.81
4161,140,1,SOW01797,48813.98
9610,3,4,CO009610,46629.81
5762,196,1,SOW02479,85207.42
1469,52,1,SOW00643-1,44550.43
4996,167,1,SOW02152-3,41769.24
8297,178,3,BPO008297,31924.18
10340,192,2,PO010340,9091.26
10851,43,4,CO010851,40483.28
521,17,1,SOW00217,34325.15
10494,193,3,BPO010494,9263.14
10443,68,4,CO010443,27093.07
7832,175,2,PO007832,29710.26
1598,55,1,SOW00695-1,150465.33
8730,91,2,PO008730,43562.58
1434,51,1,SOW00624,116215.18
3971,133,1,SOW01709,164765.66
633,20,1,SOW00269-1,77734.17
566,18,1,SOW00237-1,105405.47
7350,107,4,CO007350,6923.46
4997,167,1,SOW02152-4,47736.28
10389,97,2,PO010389,19155.77
6955,9,4,CO006955,36449.86
5774,196,1,SOW02483,55027.03
532,17,1,SOW00221-1,61622.72
5370,182,1,SOW02311-4,232747.61
1379,48,1,SOW00603-1,339483.88
5511,186,1,SOW02373-1,433205.68
8635,18,2,PO008635,49149.27
1676,59,1,SOW00733-1,657350.04
9833,76,2,PO009833,48555.6
6905,8,3,BPO006905,36426.42
3567,118,1,SOW01528,119664.26
6471,14,2,PO006471,44800.35
7909,161,2,PO007909,17126.49
4120,137,1,SOW01776,102408.2
6117,36,4,CO006117,24776.92
7478,154,3,BPO007478,15348.07
3663,124,1,SOW01573,181730.39
4855,163,1,SOW02090,47681.12
9598,94,3,BPO009598,37935.18
4804,161,1,SOW02074,44136.44
6443,81,3,BPO006443,4632.78
4969,166,1,SOW02142,131227.6
7928,163,3,BPO007928,24216.89
6674,57,4,CO006674,41291.4
643,21,1,SOW00273-2,292208.85
1628,55,1,SOW00709-1,346009.92
4463,149,1,SOW01930,220594.05
2952,101,1,SOW01274-1,22553.39
8686,148,4,CO008686,27530.2
2779,92,1,SOW01192,138430.24
6755,133,3,BPO006755,42040.3
5372,182,1,SOW02312-1,365324.55
3529,118,1,SOW01514-3,96167.18
4947,165,1,SOW02133-2,105449.31
2948,101,1,SOW01272-1,17780.58
2403,79,1,SOW01044,62061.56
3086,105,1,SOW01332-1,116884.86
11161,115,4,CO011161,44672.22
7220,24,2,PO007220,36612.74
6649,94,3,BPO006649,48765.7
9606,48,3,BPO009606,17157.11
8080,79,4,CO008080,8350.82
140,6,1,SOW00065,626294.9
9446,142,2,PO009446,41117.1
9028,105,4,CO009028,6331.36
1411,50,1,SOW00616-3,392518.85
2183,74,1,SOW00957,32910.92
4563,152,1,SOW01975-2,193541.76
5263,175,1,SOW02264-1,348360.71
8040,106,4,CO008040,32209.45
26,1,1,SOW00014,89890.35
494,16,1,SOW00205-2,61099.91
6726,13,3,BPO006726,7317.08
7240,175,3,BPO007240,10768.62
2838,96,1,SOW01221-1,983192.25
3690,125,1,SOW01586,15938.74
10238,105,2,PO010238,17973.66
9085,140,4,CO009085,48833.44
3908,131,1,SOW01682-1,138214.03
3112,105,1,SOW01341,30930.72
2744,92,1,SOW01179,158541.98
11599,19,2,PO011599,15375.69
8824,137,2,PO008824,28223.21
2444,80,1,SOW01062,70692.32
3602,121,1,SOW01545-1,287146.43
9851,47,4,CO009851,41320.27
3343,112,1,SOW01431-1,122923.6
7781,155,2,PO007781,36145.26
8404,6,4,CO008404,38370.26
6276,132,3,BPO006276,25438.98
11580,189,3,BPO011580,43325.49
8488,56,4,CO008488,26294.01
6157,69,2,PO006157,45962.86
2125,71,1,SOW00931-4,143786.17
10283,33,2,PO010283,12599.48
248,9,1,SOW00108,110288.47
8518,175,3,BPO008518,40406.35
3151,106,1,SOW01353-3,121350.06
8231,139,4,CO008231,41684.65
5049,168,1,SOW02174-5,162098.21
5719,194,1,SOW02460-3,615192.1
11709,122,3,BPO011709,47622.66
2288,76,1,SOW00999,384355.02
10431,195,2,PO010431,2658.66
3197,107,1,SOW01375,46327.11
10110,17,2,PO010110,46414.79
11336,90,2,PO011336,37871.61
2336,77,1,SOW01016-4,252840.69
7316,73,2,PO007316,6516.8
9382,124,2,PO009382,21411.76
5785,196,1,SOW02487,137482.26
669,23,1,SOW00283-4,212834.94
1474,52,1,SOW00645-1,34213.43
7672,163,4,CO007672,43017.57
2207,75,1,SOW00966-3,44229.93
4904,165,1,SOW02114,239221.89
3694,125,1,SOW01589,6579.53
4191,140,1,SOW01810-2,79741.2
4,1,1,SOW00003,71103.02
3815,128,1,SOW01646-1,223600.27
5276,175,1,SOW02270-1,426836.82
5320,178,1,SOW02291,937768.39
7120,10,3,BPO007120,34605.38
4311,145,1,SOW01864-1,32741.29
7484,154,3,BPO007484,24883.95
7298,175,4,CO007298,41794.51
1838,64,1,SOW00807,118587.92
8158,95,4,CO008158,44979.66
165,7,1,SOW00077-1,107116.59
11628,182,2,PO011628,16240.39
5163,171,1,SOW02227-4,162292.98
4620,155,1,SOW01998-1,63986.3
283,10,1,SOW00124,16821.44
8157,180,2,PO008157,29288.37
8469,199,4,CO008469,37642.2
1903,66,1,SOW00835,313183.85
7683,36,2,PO007683,24306.14
2416,79,1,SOW01052,37141.6
9930,39,2,PO009930,4875.12
5917,98,4,CO005917,16421.03
8198,117,4,CO008198,34898.47
5677,192,1,SOW02440,167497.11
11639,152,2,PO011639,26024.0
8767,51,2,PO008767,16573.4
3185,107,1,SOW01368-5,72096.88
5811,198,1,SOW02498,127213.54
5217,173,1,SOW02246,39133.36
6319,87,4,CO006319,4705.78
7730,85,2,PO007730,14967.7
1124,38,1,SOW00487,263982.18
7144,35,2,PO007144,26456.73
4030,135,1,SOW01736-1,65671.42
4513,150,1,SOW01952,106721.0
1467,52,1,SOW00642-3,56595.11
9908,62,3,BPO009908,25297.22
9475,106,2,PO009475,42130.86
5258,174,1,SOW02262-2,379287.03
1799,63,1,SOW00787,192908.38
3017,102,1,SOW01303-4,267446.69
759,26,1,SOW00326,175968.66
11166,36,3,BPO011166,30385.23
4671,157,1,SOW02022-2,95835.01
3076,105,1,SOW01327,114901.06
4048,135,1,SOW01744,47667.03
10521,5,4,CO010521,41184.48
2014,68,1,SOW00882-5,42961.98
9992,63,3,BPO009992,36033.69
169,7,1,SOW00077-5,214233.18
1405,50,1,SOW00614-2,339540.54
7134,141,3,BPO007134,20270.58
7105,63,3,BPO007105,1352.02
5878,12,3,BPO005878,25868.75
5722,195,1,SOW02461-1,190022.48
9017,180,2,PO009017,49506.12
6590,169,3,BPO006590,18912.23
1716,61,1,SOW00752-1,564574.64
4762,160,1,SOW02059,102349.16
8687,142,4,CO008687,15228.53
9573,67,3,BPO009573,40277.17
4457,149,1,SOW01927,63475.58
5815,198,1,SOW02499-2,80957.49
7064,105,2,PO007064,28331.74
8567,61,3,BPO008567,33479.64
7652,87,3,BPO007652,49835.94
7962,196,4,CO007962,26764.11
6980,117,2,PO006980,8755.16
10150,47,4,CO010150,4937.21
2,1,1,SOW00002,154731.01
7635,58,3,BPO007635,9639.02
3686,125,1,SOW01584,13710.3
543,17,1,SOW00225-4,70802.67
7950,199,4,CO007950,20899.83
9252,164,3,BPO009252,36108.36
1499,53,1,SOW00656-2,23681.5
7808,176,3,BPO007808,40343.24
4627,155,1,SOW02001-2,56809.78
1728,62,1,SOW00755,111962.07
5357,181,1,SOW02307,2112000.86
10760,68,2,PO010760,48777.99
6827,105,4,CO006827,27555.75
3256,109,1,SOW01396-1,101807.32
1086,37,1,SOW00474,221096.3
2780,92,1,SOW01192-1,173618.24
6556,81,4,CO006556,45460.97
2991,102,1,SOW01292-1,278013.23
5462,184,1,SOW02350,57394.16
7813,67,3,BPO007813,10430.06
4934,165,1,SOW02129-4,130507.39
7747,182,3,BPO007747,17854.4
1074,37,1,SOW00470,134239.62
5077,169,1,SOW02188,165654.5
11704,29,4,CO011704,32981.79
5473,184,1,SOW02354,136556.26
4087,136,1,SOW01763-2,136979.79
1429,51,1,SOW00623-1,95171.04
8063,7,2,PO008063,39519.13
1226,41,1,SOW00534,111358.82
1500,53,1,SOW00656-3,28235.63
4021,134,1,SOW01732,206329.09
7823,18,2,PO007823,9829.86
7454,156,4,CO007454,39569.08
987,33,1,SOW00428-1,61907.53
10018,180,3,BPO010018,46528.15
5934,98,3,BPO005934,42775.09
5048,168,1,SOW02174-4,129678.57
8192,6,3,BPO008192,38636.96
7297,108,2,PO007297,8595.37
7299,120,2,PO007299,17641.2
6672,58,4,CO006672,35125.86
6412,85,3,BPO006412,44877.3
7656,196,4,CO007656,13511.74
6090,162,4,CO006090,22533.35
10224,31,4,CO010224,3928.03
4931,165,1,SOW02129-1,81567.12
6598,172,2,PO006598,28910.45
7913,42,2,PO007913,27582.61
5640,192,1,SOW02427-1,149116.11
10241,70,4,CO010241,21617.92
8684,141,4,CO008684,45692.17
1221,41,1,SOW00530-1,185852.61
5307,177,1,SOW02285,141402.73
842,29,1,SOW00364-2,368425.49
300,10,1,SOW00130,26068.09
8032,16,3,BPO008032,9653.93
10751,2,3,BPO010751,45748.57
8081,162,3,BPO008081,34360.85
7569,171,2,PO007569,38611.43
8382,53,2,PO008382,44619.92
11174,67,2,PO011174,17669.23
6239,183,3,BPO006239,12724.95
4394,148,1,SOW01902-1,125638.48
5413,184,1,SOW02332,137277.25
9717,22,3,BPO009717,9872.87
10346,34,2,PO010346,6789.26
1530,53,1,SOW00666,10448.39
3910,131,1,SOW01683,134715.91
10266,135,4,CO010266,41920.19
8350,153,4,CO008350,11778.19
961,33,1,SOW00418-1,91448.83
3137,106,1,SOW01348,167929.19
9843,82,2,PO009843,19439.94
8383,146,2,PO008383,987.88
2639,88,1,SOW01139-2,148934.31
9485,138,4,CO009485,31485.05
979,33,1,SOW00426,56813.88
10180,15,4,CO010180,39334.98
8411,104,2,PO008411,11287.45
8332,131,3,BPO008332,32479.03
9726,151,3,BPO009726,41686.85
4194,140,1,SOW01812-1,41619.15
2120,71,1,SOW00930-1,210403.4
391,14,1,SOW00166,352589.39
261,10,1,SOW00115-1,36030.63
10273,134,4,CO010273,42977.61
2025,69,1,SOW00888,62720.54
